,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
121,thank word,0,sammy remix,0,fucking hell,0,night emotion everyone jake leon,0,perfect,0,0,school certificate,0,0,0
122,thank kind word,0,huey news power love remix,0,awesome hell,0,jake berry,0,damn perfect,0,0,school certificate,0,0,0
123,thank people,0,presale link,0,cuppa,0,kitten bravo,0,teacher happiness teaching wellbeing staff happiness health thanks,0,0,congratulation luck everything touch,0,0,0
124,thanks person,0,presale code,0,cuppa,0,self kitten,0,super inspiration school workshop group happiness staff session confidence demand parent session happiness,0,0,congratulation luck everything keep touch pgce year,0,0,0
125,thanks people,0,presale link people,0,vote reflection grab cuppa,0,kitten ghost name midnight course salem,0,idiot teacher time crap year happiness health check teacher,0,0,congratulation luck everything touch,0,0,0
126,thank kind,0,0,0,week week,0,luck tomorrow buffet rice tomorrow,0,0,0,0,0,0,0,0
127,thank kind,0,0,0,side week,0,luck candidate tomorrow,0,0,0,0,0,0,0,0
128,thank kind,0,0,0,buck week,0,luck today,0,0,0,0,0,0,0,0
129,thank work everything wish,0,0,0,bong cnut,0,channel loco,0,0,0,0,0,0,0,0
130,thank work,0,0,0,wait bonkers,0,think channel king qtime,0,0,0,0,0,0,0,0
131,thank work,0,0,0,call bonkers,0,ceiling woman life jack television,0,0,0,0,0,0,0,0
132,screen shot article quote selfie selfies stranger photo glad,0,0,0,fuck,0,congratulation luck everything,0,0,0,0,0,0,0,0
133,attention selfie someone death medium,0,0,0,fuck,0,congratulation luck everything,0,0,0,0,0,0,0,0
134,spiderman selfies,0,0,0,fuck fuck,0,congratulation luck everything,0,0,0,0,0,0,0,0
135,feeling victim people hashtag anything,0,0,0,liar pistol,0,understatement week fortune,0,0,0,0,0,0,0,0
136,people hashtags notification,0,0,0,scale mass shooting,0,tell luck week,0,0,0,0,0,0,0,0
137,love hashtag,0,0,0,rebel rebel bowie pistol,0,luck week,0,0,0,0,0,0,0,0
138,care palestinian wall voter,0,0,0,week term monday cpds thanks,0,0,0,0,0,0,0,0,0,0
139,interview attack gaza suffering people,0,0,0,week term,0,0,0,0,0,0,0,0,0,0
140,peoplehood occupation palestinian year reason,0,0,0,week term bliss,0,0,0,0,0,0,0,0,0,0
141,guess,0,0,0,dartmoor film haytor,0,0,0,0,0,0,0,0,0,0
142,guess,0,0,0,hayfever time baby,0,0,0,0,0,0,0,0,0,0
143,guess,0,0,0,hayfever arse today,0,0,0,0,0,0,0,0,0,0
144,stream,0,0,0,chalice replacement,0,0,0,0,0,0,0,0,0,0
145,jackbox stream please thank,0,0,0,chap something,0,0,0,0,0,0,0,0,0,0
146,stream time replay world,0,0,0,pity chap dross,0,0,0,0,0,0,0,0,0,0
147,tshirt work today whats tshirt,0,0,0,fool speak doubt,0,0,0,0,0,0,0,0,0,0
148,tshirt energy,0,0,0,view september nothing fool mouth doubt season game eitheridiots,0,0,0,0,0,0,0,0,0,0
149,tshirt quote news,0,0,0,face fool everything,0,0,0,0,0,0,0,0,0,0
150,bruh situation slang presence,0,0,0,genius,0,0,0,0,0,0,0,0,0,0
151,situation solution,0,0,0,absolute genius,0,0,0,0,0,0,0,0,0,0
152,situation something,0,0,0,come genius,0,0,0,0,0,0,0,0,0,0
153,thanks world,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,bambino name welcome world,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,thanks show world,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,thanks loss town community,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,sorry loss youth welcome club,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,welcome club time hope,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,yeah reason,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,reason,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,reason,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,thank friend,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,thank friend,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,thank friend,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,goodness risk lewes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,goodness thing message,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,goodness cost money,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,thank goodness,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,thank goodness,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,thank goodness,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,kind approach deliberate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,kind result quote,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,avoid type,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,folk ploy,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,folk person life,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,folk side hope,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,banner evening,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,star banner,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,banner,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,apartheid colonisation barrel stamp boot stroke people office,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,decent folk recognise murder apartheid,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,apartheid beefy boer century version professional course violent,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,thank week,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,thanks week,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,thanks piece accreditation week view,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,show,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,show,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,cancel show,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,miss stevens school biology bitch,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,concentration miss mann miss benger,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,miss role,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,thanks friend,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,thanks friend,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,thanks friend,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,thanks kind,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,thanks kind,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,thanks kind,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,thank today,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,thanks today,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,thank today,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,glad time year,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,kind reuben mistake year glad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,glad year,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,cornell note book page number,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,cornell note realise notebook,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,cornell note,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,pacing challenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,pacingyes physio access moment,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,avoid thing pace skill speed difference,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,friend,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,friend,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,friend,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,gratitude destroys grateful today,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,gratitude altitude life grateful generation message happiness,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,loaf gratitude,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,letter right guess word eliminator guess,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,guess letter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,grrrrr comment letter lady glad guess relevance rating zero,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,trip isle wight,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,year isle wight,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,isle wight place fare level need service investment plan manchester govt year review need number rider idea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,anne greengables clue,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,bonne anne,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,work anne,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,guess average guess,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,guess average guess,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,average number,0,0,0,0,0,0,0,0,0,0,0,0,0,0
