,0,1,2,3,4
469,info end week charlotte,0,0,fons week share thought future health care leadership,0
470,charlotte break bound anything,0,0,fons programme team workplace culture need,0
471,caitriona,0,0,fons news inbox stuff comment,0
472,caitriona boy trouble wee baby,0,0,fons news fons,0
473,caitriona,0,0,fons news,0
474,whoop whoop,0,0,discussion fact mistake reporting medium year medium,0
475,whoop whoop,0,0,work revision,0
476,whoop whoop,0,0,report objection office knowledge matter,0
477,everyone wreck maisel,0,0,impact practice development school experience learn july,0
478,marcelle,0,0,impact practice development school experience learn july,0
479,marcelle,0,0,impact practice development school experience learn july,0
480,luvs,0,0,afternoon everyone newsletter online edition link newsletter,0
481,luvvies elitist,0,0,afternoon everyone newsletter online edition link newsletter,0
482,lurgy,0,0,afternoon everyone newsletter online edition link newsletter,0
483,book haul,0,0,technology roll part steamroller part road stewart brand writer,0
484,book haul,0,0,stewart kind heart,0
485,book haul penguin michael joseph,0,0,think answer stewart,0
486,samaritan mind,0,0,ditto ray,0
487,exit,0,0,ray gun,0
488,exit mind,0,0,nah utro ray nabalan,0
489,yeahh,0,0,student student midwife nursing associate july team student forum information flyer,0
490,yea,0,0,student student midwife nursing associate team student forum information flyer,0
491,yeaaa,0,0,student student midwife nursing associate july team student forum information flyer,0
492,christ almighty,0,0,pedagogy health promotion advance contribution art science teaching health promotion health view submission guideline,0
493,christ,0,0,pedagogy health promotion paper year article online,0
494,christ,0,0,journal care editor application,0
495,congratulation programme module,0,0,enquiry record analyse record audit trail record taker source repetition today,0
496,congratulation programme module,0,0,enquiry record analyse record audit trail record taker source repetition today,0
497,congratulation programme module,0,0,enquiry record analyse record audit trail record taker source repetition today,0
498,clare hope day,0,0,document management form document cloud data,0
499,arghhh thank clare,0,0,document management system document cloud need paper file,0
500,attitude clare hurling,0,0,document management form document cloud data,0
501,revolution transition way edge,0,0,application vacancy forum committee,0
502,viva revolution,0,0,rcn student committee blog time committee application oct,0
503,nope step revolution,0,0,application rcn forum committee vacancy health forum committee committee vacancy,0
504,campaign website magazine issue look,0,0,record vacancy applicant detail record timeline success rejection convert staff member acceptance repetition,0
505,campaign website magazine issue look,0,0,record vacancy applicant detail record timeline success rejection convert staff member acceptance repetition,0
506,look advertising campaign issue,0,0,record vacancy applicant detail record timeline success rejection convert staff member acceptance repetition,0
507,someone sickle cell crisis save elearning module sign sickle cell crisis,0,0,0,0
508,sister sickle cell devastating stroke york time,0,0,0,0
509,sickle cell crisis knowledge understanding disease manifestation emergency nurse cpd article barrier care outline improvement,0,0,0,0
510,congratulation holt programme module self leader thank programme,0,0,0,0
511,congratulation programme module self leader thank programme,0,0,0,0
512,congratulation programme module self leader thank programme,0,0,0,0
513,welcome healthcare assistant apprentice hca academy week luck team trust,0,0,0,0
514,welcome healthcare assistant apprentice hca academy week luck team trust,0,0,0,0
515,welcome healthcare assistant apprentice hca academy week luck team trust,0,0,0,0
516,omo night oooo,0,0,0,0
517,omo man def please,0,0,0,0
518,omo,0,0,0,0
519,cpi item october component index,0,0,0,0
520,cpi item auto insurance gasoline index,0,0,0,0
521,cpi item june gasoline index food index increase,0,0,0,0
522,morning chris friend day,0,0,0,0
523,morning chris friend day,0,0,0,0
524,morning chris friend day,0,0,0,0
525,morning chris,0,0,0,0
526,morning chris,0,0,0,0
527,morning chris,0,0,0,0
528,sam heughan,0,0,0,0
529,sam heughan magazine,0,0,0,0
530,sam heughan starz eye comment humour tshirt line,0,0,0,0
